topic_id,top_words,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_11,word_12,word_13,word_14,word_15
0,"want, love, feel, testimony, think, thing, true, heavenly father, feeling, heavenly, ask, prophet, really, pray, heart",want,love,feel,testimony,think,thing,true,heavenly father,feeling,heavenly,ask,prophet,really,pray,heart
1,"proposed sustain, proposed, seventy, area seventy, sustain, counselor presidency, wish join, authority area, seventy general, proposed release, release, counselor, manifest proposed, quorum, presidency",proposed sustain,proposed,seventy,area seventy,sustain,counselor presidency,wish join,authority area,seventy general,proposed release,release,counselor,manifest proposed,quorum,presidency
2,"auditing, expenditure, budget, audit, department, asset, policy procedure, policy, accordance, auditing department, approved, fund, expenditure fund, certified, contribution",auditing,expenditure,budget,audit,department,asset,policy procedure,policy,accordance,auditing department,approved,fund,expenditure fund,certified,contribution
3,"resurrection, john, death, resurrected, son god, begotten, son, tomb, matt, flesh, mary, risen, body, peter, dead",resurrection,john,death,resurrected,son god,begotten,son,tomb,matt,flesh,mary,risen,body,peter,dead
4,"nelson, savior, covenant, russell nelson, russell, path, heavenly father, heavenly, covenant path, atonement, invite, help, disciple, focus, follow",nelson,savior,covenant,russell nelson,russell,path,heavenly father,heavenly,covenant path,atonement,invite,help,disciple,focus,follow
5,"welfare, welfare service, program, poor, needy, storehouse, food, welfare program, bishop, resource, project, poor needy, production, supply, principle",welfare,welfare service,program,poor,needy,storehouse,food,welfare program,bishop,resource,project,poor needy,production,supply,principle
6,"went, came, little, night, boy, mother, looked, took, saw, year, told, home, left, room, knew",went,came,little,night,boy,mother,looked,took,saw,year,told,home,left,room,knew
7,"conference, brother sister, sister, brother, general, thank, wonderful, grateful, express, general conference, temple, session, beloved, love, beloved brother",conference,brother sister,sister,brother,general,thank,wonderful,grateful,express,general conference,temple,session,beloved,love,beloved brother
8,"priesthood, aaronic, aaronic priesthood, holder, deacon, melchizedek, priesthood holder, quorum, priest, melchizedek priesthood, young men, bishop, duty, hold, tonight",priesthood,aaronic,aaronic priesthood,holder,deacon,melchizedek,priesthood holder,quorum,priest,melchizedek priesthood,young men,bishop,duty,hold,tonight
9,"marriage, husband, wife, husband wife, eternal, eternity, temple, man woman, married, woman, family, covenant, sacred, mother, relationship",marriage,husband,wife,husband wife,eternal,eternity,temple,man woman,married,woman,family,covenant,sacred,mother,relationship
10,"favor manifest, favor, present constituted, manifest opposed, manifest, opposed, constituted, proposed sustain, manifest contrary, second counselor, authority general, counselor, proposed, counselor presidency, board present",favor manifest,favor,present constituted,manifest opposed,manifest,opposed,constituted,proposed sustain,manifest contrary,second counselor,authority general,counselor,proposed,counselor presidency,board present
11,"total, number, donated, stake, institute, branch, seminary, cleared, end year, endowment, stake mission, school, genealogical, equivalent, membership",total,number,donated,stake,institute,branch,seminary,cleared,end year,endowment,stake mission,school,genealogical,equivalent,membership
12,"parent, family, home, child, teach, family home, home evening, teach child, teaching, mother, teacher, evening, learning, taught, responsibility",parent,family,home,child,teach,family home,home evening,teach child,teaching,mother,teacher,evening,learning,taught,responsibility
13,"december, emeritus, seventy, issued, report, presidency, ward branch, member presidency, general, status, statistic, general presidency, growth, widow, information",december,emeritus,seventy,issued,report,presidency,ward branch,member presidency,general,status,statistic,general presidency,growth,widow,information
14,"missionary, mission, serve, missionary work, serve mission, missionary service, serving, couple, young men, service, gospel, young, young man, member, stake",missionary,mission,serve,missionary work,serve mission,missionary service,serving,couple,young men,service,gospel,young,young man,member,stake
15,"thy, thou, shall, thee, shalt, unto, thou shalt, commandment, israel, covenant, promise, land, commanded, tithing, saith",thy,thou,shall,thee,shalt,unto,thou shalt,commandment,israel,covenant,promise,land,commanded,tithing,saith
16,"thy, shalt love, shalt, thou shalt, neighbour, neighbor, love, thou, thy neighbour, love god, neighbour thyself, love lord, love thy, charity, god thy",thy,shalt love,shalt,thou shalt,neighbour,neighbor,love,thou,thy neighbour,love god,neighbour thyself,love lord,love thy,charity,god thy
17,"sin, repentance, alma, repent, mercy, atonement, forgiveness, justice, forgive, forgiven, transgression, mosiah, pain, behold, unto",sin,repentance,alma,repent,mercy,atonement,forgiveness,justice,forgive,forgiven,transgression,mosiah,pain,behold,unto
18,"young woman, woman, young, girl, youth, daughter, school, young men, daughter god, tonight, standard, stand, dress, class, friend",young woman,woman,young,girl,youth,daughter,school,young men,daughter god,tonight,standard,stand,dress,class,friend
19,"relief society, relief, society, woman, sister, society sister, visiting, charity, visiting teacher, organization, sisterhood, ward, dear sister, visiting teaching, mother",relief society,relief,society,woman,sister,society sister,visiting,charity,visiting teacher,organization,sisterhood,ward,dear sister,visiting teaching,mother
20,"auditing, department, controlled, audit, general fund, financial, auditing department, accounting, expenditure, fund, procedure, reviewed, maintained, operation, committee",auditing,department,controlled,audit,general fund,financial,auditing department,accounting,expenditure,fund,procedure,reviewed,maintained,operation,committee
21,"elijah, ordinance, temple, key, ancestor, dispensation, dead, sealing, joseph, family history, joseph smith, earth, temple work, smith, kirtland",elijah,ordinance,temple,key,ancestor,dispensation,dead,sealing,joseph,family history,joseph smith,earth,temple work,smith,kirtland
22,"salt, salt lake, lake, lake city, brigham, city, brigham young, valley, pioneer, wagon, deseret, nauvoo, city deseret, joseph, deseret book",salt,salt lake,lake,lake city,brigham,city,brigham young,valley,pioneer,wagon,deseret,nauvoo,city deseret,joseph,deseret book
23,"book mormon, mormon, book, bible, read, joseph, joseph smith, read book, testament, smith, page, moroni, nephi, translated, plate",book mormon,mormon,book,bible,read,joseph,joseph smith,read book,testament,smith,page,moroni,nephi,translated,plate
24,"trial, affliction, challenge, adversity, faith, endure, suffering, pain, tribulation, trust, overcome, experience, despair, strength, patience",trial,affliction,challenge,adversity,faith,endure,suffering,pain,tribulation,trust,overcome,experience,despair,strength,patience
25,"holy ghost, ghost, holy, gift holy, gift, spirit, power holy, baptism, truth, receive, spiritual, holy spirit, baptized, prompting, companionship",holy ghost,ghost,holy,gift holy,gift,spirit,power holy,baptism,truth,receive,spiritual,holy spirit,baptized,prompting,companionship
26,"evil, moral, drug, satan, wrong, pornography, standard, avoid, behavior, temptation, destroy, men, sexual, right, sin",evil,moral,drug,satan,wrong,pornography,standard,avoid,behavior,temptation,destroy,men,sexual,right,sin
27,"agency, plan, choose, choice, free, satan, eternal life, eternal, mortal, glory, earth, happiness, salvation, law, good evil",agency,plan,choose,choice,free,satan,eternal life,eternal,mortal,glory,earth,happiness,salvation,law,good evil
28,"revelation, presidency, seer, apostle, authority, prophet, prophet seer, leader, council, sustained, ordained, called, servant, direction, quorum",revelation,presidency,seer,apostle,authority,prophet,prophet seer,leader,council,sustained,ordained,called,servant,direction,quorum
29,"yoke, burden, heavy laden, burden light, laden, heavy, labour heavy, unto labour, laden rest, labour, rest, meek lowly, lowly heart, yoke learn, lowly",yoke,burden,heavy laden,burden light,laden,heavy,labour heavy,unto labour,laden rest,labour,rest,meek lowly,lowly heart,yoke learn,lowly
